Temp,A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
42.0,1143.77905,922.40057,2145.11841,1021.15295,1400.6438,1637.40503,813.06989,954.80273,560.58429,231.05991,149.13297,108.37428,3128.33105,1110.97278,354.39746,215.83008,202.56387,386.07697
41.67,1143.77905,922.40057,2143.21411,1020.23547,1400.6438,1636.70825,812.56268,953.85028,560.58429,231.05991,149.13297,108.37428,3128.33105,1110.97278,354.39746,215.83008,202.56387,386.07697
42.33,1143.77905,923.33893,2144.16626,1021.15295,1400.6438,1637.40503,813.06989,953.85028,560.16748,230.67737,149.13297,108.37428,3128.33105,1111.99951,354.39746,215.83008,202.56387,386.07697
42.0,1143.77905,922.40057,2143.21411,1020.23547,1399.91321,1636.70825,813.06989,954.32654,561.0011,231.05991,149.13297,108.37428,3128.33105,1110.97278,354.39746,215.83008,202.56387,386.07697
42.0,1143.77905,922.40057,2143.21411,1020.23547,1399.91321,1636.70825,812.56268,953.85028,560.16748,230.67737,149.13297,108.37428,3128.33105,1111.99951,354.39746,215.83008,202.56387,386.07697
42.0,1143.77905,922.40057,2144.16626,1020.23547,1399.91321,1637.40503,812.56268,953.85028,560.16748,231.05991,149.13297,108.37428,3128.33105,1110.97278,354.39746,215.83008,202.56387,386.07697
42.0,1143.77905,922.40057,2144.16626,1020.23547,1400.6438,1636.70825,813.06989,953.85028,560.16748,230.67737,149.13297,108.37428,3130.55859,1110.97278,354.39746,215.83008,202.56387,386.07697
42.0,1143.77905,922.40057,2144.16626,1021.15295,1399.91321,1636.70825,813.06989,953.85028,560.16748,231.05991,149.13297,108.37428,3131.67212,1110.97278,354.39746,215.83008,202.56387,386.07697
35.67,1163.49939,946.79773,2146.07031,1046.84241,1528.50647,1698.72058,894.73193,1047.66382,592.26044,258.22092,165.28903,115.02884,3287.58765,1254.72156,395.09384,239.90343,232.27324,445.11014
35.33,1163.49939,946.79773,2145.11841,1046.84241,1529.23706,1699.41736,894.73193,1048.14001,592.26044,258.22092,165.28903,115.02884,3290.92871,1223.91821,395.09384,239.90343,232.27324,445.11014
35.67,1162.67773,946.79773,2146.07031,1045.92493,1529.23706,1699.41736,894.73193,1048.61621,592.26044,257.83838,165.28903,115.02884,3287.58765,1258.82861,395.09384,239.90343,232.27324,443.92947
35.33,1162.67773,946.79773,2145.11841,1045.92493,1528.50647,1699.41736,895.23914,1048.14001,592.26044,258.22092,165.28903,115.02884,3289.81494,1222.89148,395.09384,239.90343,232.27324,443.92947
35.67,1163.49939,946.79773,2145.11841,1045.92493,1528.50647,1698.72058,894.73193,1048.14001,592.26044,257.83838,165.28903,115.02884,3286.47388,1223.91821,395.09384,239.90343,232.27324,445.11014
35.0,1163.49939,946.79773,2145.11841,1045.92493,1528.50647,1698.72058,894.73193,1048.14001,592.26044,257.83838,165.28903,115.02884,3290.92871,1254.72156,395.09384,239.90343,232.27324,443.92947
34.67,1163.49939,946.79773,2144.16626,1045.92493,1529.23706,1698.72058,894.73193,1047.66382,592.26044,257.83838,165.28903,115.02884,3290.92871,1223.91821,395.09384,239.90343,232.27324,445.11014
35.0,1163.49939,946.79773,2143.21411,1046.84241,1529.23706,1700.11414,895.23914,1048.14001,592.26044,258.22092,165.28903,115.02884,3292.04224,1254.72156,395.09384,239.90343,232.27324,445.11014
35.67,1162.67773,946.79773,2146.07031,1045.92493,1529.23706,1698.02393,895.23914,1048.14001,592.26044,257.83838,165.28903,115.02884,3292.04224,1222.89148,395.09384,239.90343,232.27324,445.11014
35.33,1163.49939,946.79773,2145.11841,1045.92493,1528.50647,1699.41736,895.23914,1048.61621,592.26044,257.83838,165.28903,115.02884,3292.04224,1256.77502,395.09384,239.90343,232.27324,445.11014
42.33,1153.63928,922.40057,2137.50146,1058.76953,1450.32764,1624.86328,861.76276,1000.99518,565.58575,254.39543,160.93933,114.07819,3150.60474,1201.3291,393.39816,239.07332,218.76898,420.31619
42.0,1153.63928,922.40057,2136.54932,1058.76953,1449.59692,1624.86328,861.25555,1000.51898,565.58575,254.39543,160.93933,114.07819,3152.83203,1201.3291,393.39816,238.24319,218.76898,420.31619
42.33,1153.63928,922.40057,2135.59717,1057.85205,1449.59692,1624.1665,861.25555,999.56653,565.58575,254.01288,160.93933,114.07819,3152.83203,1201.3291,393.39816,238.24319,217.8687,420.31619
42.33,1152.8175,922.40057,2136.54932,1058.76953,1449.59692,1624.1665,861.25555,999.56653,564.7522,254.01288,160.93933,114.07819,3152.83203,1201.3291,393.39816,238.24319,218.76898,420.31619
42.0,1151.99585,922.40057,2135.59717,1056.93457,1449.59692,1624.1665,860.74835,999.56653,564.33539,253.63034,160.31793,114.07819,3152.83203,1201.3291,393.39816,238.24319,217.8687,420.31619
42.0,1149.53088,921.46222,2137.50146,1056.01709,1447.40503,1621.37939,862.77722,999.56653,564.7522,254.39543,160.93933,114.07819,3151.71851,1201.3291,393.39816,238.24319,218.76898,420.31619
