Temp,I,J,K,L,R,S
40.33,76.6896,33.28181,278.38153,128.33797,3248.60864,1116.10669
40.67,77.52318,33.66436,278.38153,128.33797,3248.60864,1114.0531
40.33,77.10639,33.28181,279.6243,129.28862,3222.99414,1109.94592
40.33,77.10639,33.66436,279.6243,129.28862,3244.15405,1108.91919
40.33,77.52318,33.66436,279.6243,129.28862,3224.10767,1109.94592
40.33,77.52318,33.66436,280.2457,129.28862,3225.22144,1107.89246
40.33,77.93997,34.04691,280.2457,128.33797,3241.92676,1107.89246
40.33,77.52318,33.66436,279.6243,128.33797,3239.69922,1110.97278
40.0,77.52318,33.66436,279.6243,128.33797,3249.72241,1109.94592
40.67,77.93997,33.66436,279.00293,128.33797,3245.26782,1114.0531
40.33,75.85602,32.89926,278.38153,128.33797,3216.31201,1110.97278
40.67,75.43922,32.89926,277.13876,127.38731,3229.67627,1108.91919
40.33,75.02243,32.51671,278.38153,127.38731,3205.17529,1108.91919
40.67,74.18885,32.51671,277.76016,127.38731,3208.51611,1106.8656
40.33,74.18885,32.51671,277.13876,127.38731,3210.74365,1107.89246
40.33,73.77206,32.13416,276.51736,127.38731,3187.3562,1103.78528
40.33,73.77206,32.13416,277.13876,126.43666,3200.72046,1103.78528
40.33,74.18885,32.13416,277.13876,127.38731,3182.90161,1104.81213
40.33,73.35527,32.13416,276.51736,127.38731,3195.1521,1103.78528
40.33,73.77206,32.51671,276.51736,126.43666,3204.06152,1105.83887
40.33,73.35527,32.13416,277.13876,127.38731,3180.67407,1103.78528
40.33,73.77206,32.13416,277.13876,127.38731,3197.37939,1102.75854
40.33,73.77206,32.13416,276.51736,127.38731,3185.12891,1106.8656
40.33,73.77206,32.13416,277.76016,127.38731,3179.56055,1104.81213
40.0,74.18885,32.51671,277.76016,127.38731,3205.17529,1103.78528
40.33,74.60564,32.51671,279.00293,128.33797,3181.78784,1103.78528
40.33,75.02243,32.89926,278.38153,128.33797,3194.03833,1102.75854
40.33,75.43922,32.51671,277.76016,128.33797,3186.24268,1104.81213
40.67,74.60564,32.89926,278.38153,128.33797,3181.78784,1102.75854
40.33,75.02243,32.89926,278.38153,128.33797,3196.26562,1103.78528
40.33,75.43922,32.51671,279.6243,128.33797,3171.76465,1103.78528
40.67,75.02243,32.89926,279.00293,128.33797,3188.46997,1101.73181
40.33,75.85602,32.89926,279.00293,129.28862,3177.33325,1104.81213
